fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	rmse_validate	rmse_test	ganancia	iteracion_bayesiana
20251209 123609	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.119522282329105	0.362005779790759	325	8	3.21357513873539	3.99570562319631	0.888863197624284	331	58.2266260472247	105.097715735968	105.097715735968	1
20251209 123727	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0862685140461794	0.455076599570124	448	191	2.86457601826571	3.86563124118506	0.64143124243045	14539	89.8820271723653	126.913464127146	126.913464127146	2
20251209 124038	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148441460961143	0.568948191958147	1418	102	4.52048065323782	6.19469018012751	0.755135719301844	18913	66.8271836877028	104.209554964537	104.209554964537	3
20251209 124059	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.134375564789849	0.586204172359846	875	173	1.77711723010621	5.86251101423321	0.813535175788482	3063	94.5740091171749	122.916319302011	122.916319302011	4
20251209 124218	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0806964550888266	0.624750219691279	504	136	3.37903506392779	5.59490385764678	0.777967579536406	8475	90.4860709663031	126.803130199127	126.803130199127	5
20251209 124239	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.155416065019256	0.709098904491735	152	215	4.40483955067715	3.17913620882401	0.663964087595897	2774	129.952086251947	124.082702701279	124.082702701279	6
20251209 124813	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.100786378241277	0.422530157596339	1266	115	1.81493379965624	0.990076638824706	0.836382783353994	43681	82.7604860086657	113.110688933936	113.110688933936	7
20251209 130132	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.119522282329105	0.362005779790759	325	8	3.21357513873539	3.99570562319631	0.888863197624284	331	58.2266260472247	105.097715735968	105.097715735968	8
20251209 130245	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0862685140461794	0.455076599570124	448	191	2.86457601826571	3.86563124118506	0.64143124243045	14539	89.8820271723653	126.913464127146	126.913464127146	9
20251209 130524	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148441460961143	0.568948191958147	1418	102	4.52048065323782	6.19469018012751	0.755135719301844	18913	66.8271836877028	104.209554964537	104.209554964537	10
20251209 130545	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.134375564789849	0.586204172359846	875	173	1.77711723010621	5.86251101423321	0.813535175788482	3063	94.5740091171749	122.916319302011	122.916319302011	11
20251209 130659	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0806964550888266	0.624750219691279	504	136	3.37903506392779	5.59490385764678	0.777967579536406	8475	90.4860709663031	126.803130199127	126.803130199127	12
20251209 130720	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.155416065019256	0.709098904491735	152	215	4.40483955067715	3.17913620882401	0.663964087595897	2774	129.952086251947	124.082702701279	124.082702701279	13
20251209 131235	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.100786378241277	0.422530157596339	1266	115	1.81493379965624	0.990076638824706	0.836382783353994	43681	82.7604860086657	113.110688933936	113.110688933936	14
20251209 131842	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.113266454701495	0.842896876938175	665	120	2.32404920251741	8.77573254185596	0.76452817355083	34829	87.7820483104273	115.170529677666	115.170529677666	15
20251209 132749	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0346367382071081	0.607318801146799	813	93	0.288935632270295	1.4253498780142	0.866972312291286	45828	79.899068448259	113.205055259049	113.205055259049	16
20251209 133042	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0592710187914781	0.396302700598192	733	156	2.06562128529185	5.17020890281336	0.619099985415648	32600	100.7668251854	130.202468403036	130.202468403036	17
20251209 133142	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.068013344969035	0.517046665578216	923	185	4.21887972762176	2.51131862609847	0.81703252193651	10901	87.3994083989648	126.716528632714	126.716528632714	18
20251209 134308	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0169781741167286	0.737467135028315	254	54	0.499364905616468	8.26039167403776	0.873858862499973	44324	68.4221341212832	98.2329788774479	98.2329788774479	19
20251209 134311	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.143984689769235	0.813622849738957	790	229	2.68094655716725	1.97474938127146	0.955430757267667	86	274.470777350186	310.644551382509	310.644551382509	20
20251209 134339	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.162177420776653	0.764325957281315	1381	37	0.765503580540618	7.25862991721702	0.728898105051901	1028	50.5469212456586	95.9072162538595	95.9072162538595	21
20251209 134349	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.176381038006761	0.476623125685312	435	16	3.87997291075798	4.82042191367197	0.604549683390983	391	85.6058307327266	100.652695484216	100.652695484216	22
20251209 134357	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.181143801539272	0.319478966664922	591	167	3.58207309053146	0.566721109041412	0.931415427978417	1698	96.5046859696361	123.522429364697	123.522429364697	23
20251209 134457	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0510257185202291	0.82175896071962	1094	23	2.62924935606342	4.61005348022029	0.904133551171981	2607	70.3223802845921	107.567452275474	107.567452275474	24
20251209 134604	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043532772237252	0.88751584779072	1309	203	0.589143312245142	9.10041643032205	0.792243533478385	7952	107.050689601297	136.318596356195	136.318596356195	25
20251209 134656	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0717078474244668	0.663423728838097	1187	143	4.87461141181744	8.15290137318828	0.644475520688242	6026	94.6900789026918	131.279731554085	131.279731554085	26
20251209 134718	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.186926692503787	0.778406972037296	977	59	1.60094655917159	1.54736233392863	0.965462867716061	1068	88.917808588207	101.550267768691	101.550267768691	27
20251209 134718	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0470731750099055	0.699498281115666	79	250	1.22711277109504	7.50824113750631	0.971528095296318	21	274.470777350186	310.644551382509	310.644551382509	28
20251209 134733	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.106647074545451	0.324687760642597	62	42	0.89571789123251	6.89768546077955	0.848926344264432	1117	64.3509510457789	104.982248281812	104.982248281812	29
20251209 134756	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.168777852541534	0.384632697317284	1455	79	3.93765177049707	3.48704546507049	0.691576430577386	2551	77.3192685108212	107.683092544541	107.683092544541	30
20251209 134845	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.126473952765477	0.862169972052133	343	146	4.68222209709763	6.77548989728426	0.918741769992214	6165	96.324103322997	129.763935714478	129.763935714478	31
20251209 134846	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0964473610116069	0.679432742540458	646	241	0.100688467708616	2.42016222560778	0.677897573242496	110	274.470777350186	310.644551382509	310.644551382509	32
20251209 140706	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.119522282329105	0.362005779790759	325	8	3.21357513873539	3.99570562319631	0.888863197624284	331	58.2266260472247	105.097715735968	105.097715735968	33
20251209 140824	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0862685140461794	0.455076599570124	448	191	2.86457601826571	3.86563124118506	0.64143124243045	14539	89.8820271723653	126.913464127146	126.913464127146	34
20251209 141105	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148441460961143	0.568948191958147	1418	102	4.52048065323782	6.19469018012751	0.755135719301844	18913	66.8271836877028	104.209554964537	104.209554964537	35
20251209 141126	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.134375564789849	0.586204172359846	875	173	1.77711723010621	5.86251101423321	0.813535175788482	3063	94.5740091171749	122.916319302011	122.916319302011	36
20251209 141239	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0806964550888266	0.624750219691279	504	136	3.37903506392779	5.59490385764678	0.777967579536406	8475	90.4860709663031	126.803130199127	126.803130199127	37
20251209 141301	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.155416065019256	0.709098904491735	152	215	4.40483955067715	3.17913620882401	0.663964087595897	2774	129.952086251947	124.082702701279	124.082702701279	38
20251209 141816	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.100786378241277	0.422530157596339	1266	115	1.81493379965624	0.990076638824706	0.836382783353994	43681	82.7604860086657	113.110688933936	113.110688933936	39
20251209 142424	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.113266454701495	0.842896876938175	665	120	2.32404920251741	8.77573254185596	0.76452817355083	34829	87.7820483104273	115.170529677666	115.170529677666	40
20251209 143325	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0346367382071081	0.607318801146799	813	93	0.288935632270295	1.4253498780142	0.866972312291286	45828	79.899068448259	113.205055259049	113.205055259049	41
20251209 143614	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0592710187914781	0.396302700598192	733	156	2.06562128529185	5.17020890281336	0.619099985415648	32600	100.7668251854	130.202468403036	130.202468403036	42
20251209 143715	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.068013344969035	0.517046665578216	923	185	4.21887972762176	2.51131862609847	0.81703252193651	10901	87.3994083989648	126.716528632714	126.716528632714	43
20251209 144746	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0169781741167286	0.737467135028315	254	54	0.499364905616468	8.26039167403776	0.873858862499973	44324	68.4221341212833	98.2329788774479	98.2329788774479	44
20251209 144747	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.143984689769235	0.813622849738957	790	229	2.68094655716725	1.97474938127146	0.955430757267667	215	274.470777350186	310.644551382509	310.644551382509	45
20251209 144812	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.162177420776653	0.764325957281315	1381	37	0.765503580540618	7.25862991721702	0.728898105051901	1028	50.5469212456586	95.9072162538595	95.9072162538595	46
20251209 144821	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.176381038006761	0.476623125685312	435	16	3.87997291075798	4.82042191367197	0.604549683390983	391	85.6058307327266	100.652695484216	100.652695484216	47
20251209 144828	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.181143801539272	0.319478966664922	591	167	3.58207309053146	0.566721109041412	0.931415427978417	1698	96.5046859696362	123.522429364697	123.522429364697	48
